
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
954,1963,NBA,1,2,BAL,Rod Thorn,22.347,G,,West Virginia University,1964,1971,466,10.8,3.1,2.6,,,.433,.433,,.723,17.2,.080
955,2001,NBA,2,41,SEA,Bobby Simmons,21.030,G-F,,DePaul University,2002,2012,466,9.0,3.8,1.5,0.8,0.2,.437,.452,.396,.823,20.1,.084
956,2008,NBA,2,37,MIL,Luc Mbah a Moute,22.296,F,,University of California Los Angeles,2009,2015,466,6.8,4.9,1.0,0.9,0.4,.444,.461,.299,.665,18.5,.078
957,1980,NBA,1,14,WSB,Wes Matthews,21.296,G,,University of Wisconsin,1981,1990,465,7.9,1.3,4.2,1.0,0.2,.478,.492,.225,.788,11.0,.057
958,1990,NBA,2,30,MIA,Carl Herrera,24.201,F,,University of Houston,1992,1999,465,5.3,3.6,0.6,0.5,0.4,.476,.478,.143,.643,9.0,.054
959,1994,NBA,1,9,BOS,Eric Montross,23.285,C,,University of North Carolina,1995,2002,465,4.5,4.6,0.4,0.3,0.6,.490,.491,.000,.478,8.5,.048
960,2008,NBA,1,15,PHO,Robin Lopez,20.091,C,,Stanford University,2009,2015,465,8.2,5.0,0.5,0.3,1.2,.532,.532,.000,.759,28.2,.137
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
961,1978,NBA,1,12,MIL,George Johnson,22.188,F-C,,St. John's University,1979,1986,464,9.1,5.6,1.8,0.9,0.6,.463,.471,.189,.779,14.1,.068
962,1957,NBA,8,60,PHW,Woody Sauldsberry,23.286,F-C,,Texas Southern University,1958,1966,462,10.7,7.8,1.1,,,.348,.348,,.610,-7.9,-0.030
963,1968,NBA,7,79,SDR,Rick Adelman,22.359,G,,Loyola Marymount University,1969,1975,462,7.7,2.4,3.5,0.2,0.0,.415,.415,,.713,10.0,.046
964,1995,NBA,1,20,CHI,Jason Caffey,22.021,F,,University of Alabama,1996,2003,462,7.3,4.4,0.9,0.5,0.2,.481,.483,.000,.637,13.5,.072
965,1986,NBA,3,66,HOU,Anthony Bowie,23.226,G-F,,University of Oklahoma,1989,1998,461,6.4,2.2,1.8,0.6,0.2,.475,.488,.318,.824,12.3,.070
966,1997,NBA,2,47,POR,Alvin Williams,23.329,G,,Villanova University,1998,2007,460,9.0,2.5,4.1,1.2,0.2,.421,.443,.313,.760,21.7,.082
967,2008,NBA,1,11,IND,Jerryd Bayless,20.315,G,,University of Arizona,2009,2015,458,8.3,2.1,2.9,0.6,0.1,.414,.440,.347,.829,15.3,.079
968,1971,NBA,2,32,CHI,Howard Porter,23.215,F-C,,Villanova University,1972,1978,457,9.2,4.1,0.5,0.3,0.5,.469,.469,,.802,17.6,.099
969,1990,NBA,2,51,LAL,Tony Smith,22.018,G,,Marquette University,1991,2001,457,5.5,1.6,1.9,0.7,0.2,.431,.455,.307,.690,6.7,.044
970,1976,NBA,1,4,DET,Leon Douglas,22.292,C-F,,University of Alabama,1977,1983,456,7.9,6.5,1.1,0.5,0.7,.495,.496,.000,.601,15.2,.072
971,1983,NBA,1,1,HOU,Ralph Sampson,23.361,C-F,,University of Virginia,1984,1992,456,15.4,8.8,2.3,0.9,1.6,.486,.489,.172,.661,20.1,.071
972,1990,NBA,2,47,PHI,Derek Strong,22.144,F,,Xavier University,1992,2001,456,6.8,4.9,0.6,0.4,0.2,.430,.436,.180,.786,18.5,.104
973,1994,NBA,1,24,NYK,Monty Williams,23.270,F,,University of Notre Dame,1995,2003,456,6.3,2.8,1.2,0.6,0.3,.481,.487,.111,.665,11.4,.072
974,2000,NBA,2,44,DET,Brian Cardinal,23.063,F,,Purdue University,2001,2012,456,4.6,2.3,1.0,0.6,0.2,.408,.432,.372,.861,15.4,.114
975,1964,NBA,1,1,NYK,Jim Barnes,23.027,C-F,,University of Texas at El Paso,1965,1971,454,8.8,6.5,0.8,,,.429,.429,,.684,14.2,.072
976,1977,NBA,2,37,SAS,Jeff Wilkins,22.099,C-F,,Illinois State University,1981,1986,454,7.9,5.7,1.0,0.4,0.5,.459,.460,.000,.743,8.8,.042
977,1990,NBA,1,7,SAC,Lionel Simmons,22.230,F,,La Salle University,1991,1997,454,12.8,6.2,3.3,1.1,0.8,.433,.436,.305,.771,16.9,.060
